English,Espanol,ANSI Code
Alabama,Alabama,AL
Alaska,Alaska,AK
Arizona,Arizona,AZ
Arkansas,Arkansas,AR
California,California,CA
Colorado,Colorado,CO
Connecticut,Connecticut,CT
Delaware,Delaware,DE
District of Columbia,Distrito de Columbia,DC
Florida,Florida,FL
Georgia,Georgia,GA
Hawaii,Hawai,HI
Idaho,Idaho,ID
Illinois,Illinois,IL
Indiana,Indiana,IN
Iowa,Iowa,IA
Kansas,Kansas,KS
Kentucky,Kentucky,KY
Louisiana,Luisiana,LA
Maine,Maine,ME
Maryland,Maryland,MD
Massachusetts,Massachusetts,MA
Michigan,Michigan,MI
Minnesota,Minesota,MN
Mississippi,Misisipi,MS
Missouri,Misuri,MO
Montana,Montana,MT
Nebraska,Nebraska,NE
Nevada,Nevada,NV
New Hampshire,Nuevo Hampshire,NH
New Jersey,Nueva Jersey,NJ
New Mexico,Nuevo M�xico,NM
New York,Nueva York,NY
North Carolina,Carolina del Norte,NC
North Dakota,Dakota del Norte,ND
Oklahoma,Oklahoma,OK
Oregon,Oreg�n,OR
Pennsylvania,Pensilvania,PA
Rhode Island,Rhode Island,RI
South Carolina,Carolina del Sur,SC
South Dakota,Dakota del Sur,SD
Tennessee,Tennessee,TN
Texas,Texas,TX
Utah,Utah,UT
Vermont,Vermont,VT
Virginia,Virginia,VA
Washington,Washington,WA
West Virginia,Virginia Occidental,WV
Wisconsin,Wisconsin,WI
Wyoming,Wyoming,WY
